,0
INTERNAL TRANSACTION,687
EATING PLACES RESTAURANTS,10970
LODGING,7301
MISCELLANEOUS AND SPECIALTY RETAIL STORES,2275
COMMERCIAL EQUIPMENT NOT ELSEWHERE CLASSIFIED,2506
ORGANIZATIONS MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,1306
STATIONERY-OFFICE SUPPLIES-PRINTING WRITING PAP,14637
NONDURABLE GOODS NOT ELSEWHERE CLASSIFIED,2675
MOTOR VEHICLE SUPPLIES AND NEW PARTS,1056
MOTION PICTURE THEATERS,57
DIRECT MARKETING-OTHER DIRECT MARKETERS-NOT ELSEW,1017
COMPUTER SOFTWARE STORES,711
BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,3352
FUEL DISPENSER AUTOMATED,384
AUTOMOBILE PARKING LOTS AND GARAGES,4558
GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,5452
COSMETIC STORES,22
GROCERY STORES SUPERMARKETS,5167
VARIETY STORES,914
FAST FOOD RESTAURANTS,5596
AUTOMOTIVE SERVICE SHOPS,1725
DIRECT MARKETING-CATALOG MERCHANTS,1572
ELECTRICAL PARTS AND EQUIPMENT,1235
AUTO TRUCK DLRS-SALES SVC REPRS PRTS LEASING,1218
MEDICAL AND DENTAL LABORATORIES,331
ACCESSORY AND APPAREL STORES-MISCELLANEOUS,440
AIRLINE,4440
ORGANIZATIONS CHARITABLE AND SOCIAL SERVICES,1998
OFFICE PHOTOGRAPHIC PHOTOCOPY MICROFILM EQUIPMT,1308
BOAT LEASES AND BOAT RENTALS,19
EQUIPMENT RENTALLEASING SVS FURNTURE-TOOL RENTAL,279
MOTORCYCLE SHOPS AND DEALERS,38
HARDWARE STORES,3963
ELECTRONIC REPAIR SHOPS,420
HOME SUPPLY WAREHOUSE STORES,5040
BUILDING MATERIALS LUMBER STORES,514
SPORTING GOODS STORES,713
TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,849
UTLTS-ELCTRC GAS HEATING OIL SANITARY WATER,2488
CONSTRUCTION MATERIALS NOT ELSEWHERE CLASSIFIED,1034
INDUSTRIAL SUPPLIES NOT ELSEWHERE CLASSIFIED,5749
MISC-AUTO-AIRCRAFT-FARM EQUIP NOT ELSEWHERE CLASS,803
FUEL DEALERS-COAL FUEL OIL LIQ PETROLEUM WOOD,485
